                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0819,                 3.3665,                 2.1503,                 0.0555,                0.20677,                 0.0211,                0.00664,                 2.6382,                  23.53,                 3.2586,             0.00054359,             0.00054359,             0.00054359
                      2,                 2.1858,                 2.8211,                  2.254,                0.01621,                0.17825,                0.00748,                0.00237,                 3.2752,                    inf,                 5.8032,              0.0010938,              0.0010938,              0.0010938
                      3,                 2.2606,                 2.8649,                 2.3434,                0.00172,                0.05063,                0.00085,                0.00036,                    nan,                    nan,                    nan,              0.0016385,              0.0016385,              0.0016385
                      4,                 2.2107,                 2.7692,                 2.2833,                0.07129,                0.08761,                0.04101,                0.01316,                 2.8871,                 10.593,                 2.9543,              0.0016422,              0.0016422,              0.0016422
                      5,                 2.1813,                 2.7292,                 2.2587,                0.24634,                0.18382,                0.13644,                0.04899,                 2.4732,                  4.316,                 2.5185,               0.001634,               0.001634,               0.001634
                      6,                 2.1202,                 2.6392,                 2.2386,                0.16154,                0.27954,                0.12884,                0.04367,                 2.4474,                 5.4654,                 2.6341,              0.0016257,              0.0016257,              0.0016257
                      7,                 2.1287,                 2.6182,                 2.1915,                0.05496,                0.13245,                0.01467,                0.00536,                  2.733,                 8.2202,                 2.8342,              0.0016175,              0.0016175,              0.0016175
                      8,                 2.0699,                 2.5172,                 2.1445,                0.14186,                0.18324,                0.08091,                0.02693,                 2.5398,                 4.1221,                 2.4874,              0.0016092,              0.0016092,              0.0016092
                      9,                 2.0426,                 2.4862,                 2.1311,                0.33252,                0.26671,                0.20842,                0.07091,                 2.3226,                 3.6567,                 2.3271,               0.001601,               0.001601,               0.001601
                     10,                 2.0516,                 2.4169,                 2.1136,                0.26535,                0.26118,                0.19196,                0.06589,                 2.3044,                 3.0408,                 2.2152,              0.0015927,              0.0015927,              0.0015927
                     11,                 2.0285,                 2.3587,                 2.0974,                0.26768,                0.24372,                0.16328,                0.05686,                 2.4308,                 3.3976,                 2.3902,              0.0015845,              0.0015845,              0.0015845
                     12,                 2.0139,                 2.3901,                 2.0859,                0.32908,                 0.2326,                0.19796,                 0.0697,                 2.3244,                 2.7687,                 2.3395,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.9713,                 2.3026,                 2.0642,                0.28867,                0.28489,                0.20602,                0.07316,                 2.2548,                 2.7112,                 2.2001,               0.001568,               0.001568,               0.001568
                     14,                 1.9889,                 2.3171,                 2.0378,                0.32036,                0.29585,                0.22335,                0.07029,                 2.2287,                 2.8242,                 2.1848,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.9544,                  2.262,                 2.0164,                0.25676,                0.27535,                0.20496,                0.07475,                 2.3094,                 2.9733,                 2.2013,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.9451,                  2.279,                 2.0088,                0.30881,                0.26487,                0.22341,                 0.0836,                 2.2795,                 3.2849,                  2.258,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.9609,                 2.2229,                 2.0329,                0.38678,                0.26225,                0.23302,                0.08961,                 2.2442,                 2.8786,                 2.2156,               0.001535,               0.001535,               0.001535
                     18,                 1.9263,                 2.1987,                 2.0144,                0.34069,                 0.2584,                0.22951,                0.09214,                 2.2042,                  2.519,                 2.1741,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.9514,                 2.1631,                 2.0246,                0.28376,                 0.3097,                0.23676,                0.09523,                 2.2013,                 2.8901,                 2.2349,              0.0015185,              0.0015185,              0.0015185
                     20,                  1.922,                 2.1515,                 1.9935,                0.44638,                0.32371,                0.31448,                0.12471,                 2.1675,                 2.3694,                 2.1249,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.8996,                 2.1098,                 1.9713,                0.39979,                0.31367,                0.28088,                0.11286,                 2.1922,                 2.5048,                  2.157,               0.001502,               0.001502,               0.001502
                     22,                 1.9147,                 2.1642,                 1.9915,                0.38912,                0.32616,                0.28245,                0.11137,                 2.1808,                 2.5319,                 2.1183,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.8683,                  2.102,                 1.9278,                0.40557,                0.30958,                0.28845,                0.12027,                 2.1168,                 2.3068,                 2.0864,              0.0014855,              0.0014855,              0.0014855
                     24,                  1.867,                 2.0439,                 1.9352,                0.36121,                0.31857,                0.28511,                0.11263,                 2.1252,                 2.3501,                  2.066,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.8747,                 2.1125,                  1.938,                 0.4345,                0.29868,                0.29952,                0.11519,                 2.1928,                   2.45,                 2.1187,               0.001469,               0.001469,               0.001469
                     26,                 1.8797,                 2.0469,                 1.9519,                0.36974,                0.28706,                0.27149,                0.10219,                 2.1419,                 2.4995,                 2.1063,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.8477,                 2.0609,                  1.924,                0.42926,                 0.3134,                0.30108,                0.11475,                 2.1886,                 2.4544,                 2.1565,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.8373,                 2.0322,                 1.9475,                0.44755,                0.32661,                0.32016,                 0.1194,                 2.2045,                 2.3077,                 2.1462,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.8496,                 1.9879,                 1.8976,                0.34826,                0.33969,                0.29146,                0.10918,                  2.238,                 2.5272,                 2.1792,               0.001436,               0.001436,               0.001436
                     30,                 1.8444,                 1.9913,                 1.9158,                0.37646,                0.35714,                 0.3108,                0.12955,                  2.082,                  2.226,                 2.0606,              0.0014277,              0.0014277,              0.0014277
                     31,                 1.8229,                 1.9991,                  1.912,                0.40682,                0.33698,                0.29611,                  0.116,                 2.1763,                 2.3724,                 2.1187,              0.0014195,              0.0014195,              0.0014195
                     32,                 1.8153,                 1.9552,                 1.9025,                0.41047,                0.27207,                0.25665,                0.09292,                 2.2769,                 2.5411,                 2.2727,              0.0014112,              0.0014112,              0.0014112
                     33,                 1.8347,                 1.9619,                 1.8963,                0.46154,                0.29207,                0.30582,                0.12425,                 2.1925,                 2.7535,                 2.1631,              0.0014029,              0.0014029,              0.0014029
                     34,                 1.8099,                 1.9602,                 1.8867,                0.44246,                0.32734,                0.34194,                0.13839,                 2.1258,                 2.2494,                 2.0771,              0.0013947,              0.0013947,              0.0013947
